Index,Name,Expansion,Min price,Exemplaires en vente,Rareté,mkm_url,expansion_release_date,Tournament_last_month,Price trend,Price 7 days,Price 30 days,Code,Expansion_code,Number_code
2,Rotom V,Lost-Origin,0.7,239,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Rotom-V-LOR058,"9TH SEPTEMBER, 2022",193.0,"3,69 €","3,56 €","3,23 €",LOR 058,LOR,58
13,Hisuian Arcanine,Lost-Origin,0.5,914,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Arcanine-V2-LORTG08,"9TH SEPTEMBER, 2022",0.0,"1,31 €","1,34 €","1,24 €",LOR TG08,LOR,TG8
16,Giratina VSTAR,Lost-Origin,2.0,838,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Giratina-VSTAR-V1-LOR131,"9TH SEPTEMBER, 2022",131.0,"3,20 €","3,33 €","3,29 €",LOR 131,LOR,131
17,Gengar,Lost-Origin,3.1,401,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gengar-V2-LORTG06,"9TH SEPTEMBER, 2022",0.0,"5,05 €","5,11 €","4,43 €",LOR TG06,LOR,TG6
20,Charizard,Lost-Origin,4.95,635,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Charizard-LORTG03,"9TH SEPTEMBER, 2022",0.0,"7,23 €","6,90 €","6,63 €",LOR TG03,LOR,TG3
22,Snorlax,Lost-Origin,0.99,674,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Snorlax-LORTG10,"9TH SEPTEMBER, 2022",0.0,"1,95 €","2,04 €","1,95 €",LOR TG10,LOR,TG10
24,Pikachu,Lost-Origin,3.95,710,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Pikachu-V2-LORTG05,"9TH SEPTEMBER, 2022",0.0,"5,70 €","5,88 €","5,71 €",LOR TG05,LOR,TG5
49,Pikachu VMAX,Lost-Origin,5.0,577,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Pikachu-VMAX-V2-LORTG29,"9TH SEPTEMBER, 2022",,"7,76 €","7,95 €","7,23 €",LOR TG29,LOR,TG29
54,Mew VMAX,Lost-Origin,4.99,488,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Mew-VMAX-LORTG30,"9TH SEPTEMBER, 2022",,"6,74 €","6,84 €","7,00 €",LOR TG30,LOR,TG30
77,Eternatus V,Lost-Origin,2.45,354,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Eternatus-V-LORTG21,"9TH SEPTEMBER, 2022",,"4,53 €","4,79 €","4,21 €",LOR TG21,LOR,TG21
80,Colress's Experiment,Lost-Origin,2.0,403,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Colresss-Experiment-V2-LOR190,"9TH SEPTEMBER, 2022",70.0,"3,57 €","2,63 €","3,31 €",LOR 190,LOR,190
97,Gallade V,Lost-Origin,3.0,299,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Gallade-V-V2-LORTG19,"9TH SEPTEMBER, 2022",,"5,23 €","5,09 €","5,24 €",LOR TG19,LOR,TG19
101,Thorton,Lost-Origin,3.0,172,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Thorton-V2-LOR195,"9TH SEPTEMBER, 2022",223.0,"4,56 €","4,80 €","4,60 €",LOR 195,LOR,195
112,Pikachu V,Lost-Origin,15.0,235,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Pikachu-V-LORTG16,"9TH SEPTEMBER, 2022",,"37,54 €","32,41 €","34,40 €",LOR TG16,LOR,TG16
114,Giratina V,Lost-Origin,4.9,302,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Giratina-V-V2-LOR185,"9TH SEPTEMBER, 2022",0.0,"6,71 €","7,84 €","8,05 €",LOR 185,LOR,185
115,Enamorus V,Lost-Origin,3.99,290,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Enamorus-V-V3-LORTG18,"9TH SEPTEMBER, 2022",,"5,02 €","5,13 €","5,56 €",LOR TG18,LOR,TG18
117,Nessa,Lost-Origin,4.4,320,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Nessa-LORTG27,"9TH SEPTEMBER, 2022",0.0,"6,41 €","6,00 €","6,76 €",LOR TG27,LOR,TG27
120,Arezu,Lost-Origin,0.5,331,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Arezu-V2-LOR189,"9TH SEPTEMBER, 2022",0.0,"4,15 €","3,18 €","3,93 €",LOR 189,LOR,189
124,Pikachu VMAX,Lost-Origin,20.0,194,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Pikachu-VMAX-V1-LORTG17,"9TH SEPTEMBER, 2022",,"50,94 €","46,61 €","45,91 €",LOR TG17,LOR,TG17
131,Centiskorch VMAX,Lost-Origin,2.0,306,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Centiskorch-VMAX-LORTG15,"9TH SEPTEMBER, 2022",,"5,38 €","5,41 €","5,17 €",LOR TG15,LOR,TG15
132,Crobat V,Lost-Origin,3.2,246,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Crobat-V-LORTG20,"9TH SEPTEMBER, 2022",,"8,12 €","8,33 €","6,50 €",LOR TG20,LOR,TG20
